	点	2608	0	0
	点	2608	2	0
	点	2934	1	0
	点	2934	3	0
	点	3260	0	0
	点	3260	2	0
	点	3586	1	0
	点	3586	3	0
	点	3750	2	0
	点	3913	1	0
	点	4076	2	0
	点	4239	3	0
	点	4402	2	0
	点	4565	1	0
	点	4728	2	0
	点	4891	3	0
	点	5217	0	0
	点	5217	2	0
	点	5543	1	0
	点	5543	3	0
	点	5869	0	0
	点	5869	2	0
	点	6195	1	0
	点	6358	2	0
	点	6521	1	0
	点	6684	2	0
	点	6847	1	0
	点	7010	0	0
	点	7173	1	0
开始	按	7336	0	164
结束	滑	7500	0	1
开始	按	7500	3	163
持续	滑	7663	3	-1
持续	按	7663	2	163
持续	滑	7826	2	1
持续	按	7826	3	652
持续	滑	8478	3	-1
持续	按	8478	2	652
持续	滑	9130	2	1
持续	按	9130	3	489
持续	滑	9619	3	-1
持续	按	9619	2	815
结束	滑	10434	2	1
	点	7826	0	0
	点	7989	0	0
	点	8152	0	0
	点	8315	0	0
	点	8478	1	0
	点	8641	1	0
	点	8804	1	0
	点	8967	1	0
	点	9130	0	0
	点	9293	0	0
	点	9456	0	0
	点	9619	0	0
	点	9782	1	0
	点	9945	1	0
	点	10108	1	0
	点	10271	1	0
	点	10434	0	0
	点	10516	2	0
	点	10597	3	0
	点	10679	0	0
	点	10760	1	0
	点	10842	3	0
	点	10923	2	0
	点	11005	2	0
	点	11086	3	0
	点	11168	0	0
	点	11250	3	0
	点	11331	1	0
	点	11413	2	0
	点	11494	3	0
	点	11576	0	0
	点	11657	2	0
	滑	11739	1	-1
开始	滑	12391	2	1
持续	按	12391	3	163
持续	滑	12554	3	-1
结束	按	12554	2	163
	滑	12717	1	-1
	点	13043	0	0
	点	13043	2	0
	点	13206	0	0
	点	13206	2	0
	点	13369	1	0
	点	13532	0	0
	点	13695	1	0
	点	13695	3	0
	点	13858	1	0
	点	13858	3	0
	点	14021	2	0
	点	14184	3	0
	点	14347	0	0
	点	14347	2	0
	点	14510	0	0
	点	14510	2	0
	点	14673	1	0
	点	14673	3	0
	点	14836	1	0
	点	14836	3	0
	点	15000	0	0
	点	15000	2	0
	点	15163	0	0
	点	15163	2	0
	点	15326	1	0
	点	15326	3	0
	点	15489	1	0
	点	15489	3	0
	点	15652	0	0
	点	15652	2	0
	点	15815	1	0
	点	15815	3	0
	点	15978	2	0
	点	16141	1	0
	点	16304	0	0
	点	16304	2	0
	点	16467	0	0
	点	16467	2	0
	点	16630	1	0
	点	16793	2	0
	点	16956	1	0
	点	16956	3	0
	点	17119	1	0
	点	17119	3	0
	点	17282	2	0
	点	17445	0	0
	点	17608	1	0
	点	17608	3	0
	点	17771	1	0
	点	17771	3	0
	点	17934	0	0
	点	17934	2	0
	点	18097	0	0
	点	18097	2	0
	点	18260	1	0
	点	18260	3	0
	点	18423	1	0
	点	18423	3	0
	点	18586	0	0
	点	18586	2	0
	点	18750	0	0
	点	18750	2	0
	点	18913	1	0
	点	18913	2	0
开始	按	19076	0	163
持续	滑	19239	0	1
持续	按	19239	1	163
结束	滑	19402	1	-1
	点	19076	2	0
	点	19239	3	0
	点	19402	3	0
	点	19565	1	0
	点	19565	2	0
	点	19728	0	0
开始	按	19728	3	163
持续	滑	19891	3	-1
持续	按	19891	2	163
结束	滑	20054	2	1
	点	19891	1	0
	点	20054	0	0
	点	20217	1	0
	点	20217	3	0
	点	20380	0	0
	点	20380	2	0
	点	20543	1	0
	点	20543	3	0
	点	20706	1	0
	点	20706	3	0
	点	20869	0	0
	点	20869	2	0
	点	21032	1	0
	点	21032	3	0
	点	21195	0	0
	点	21195	2	0
	点	21358	0	0
	点	21358	2	0
	点	21521	1	0
	点	21684	3	0
	点	21847	2	0
	点	22010	1	0
	点	22173	0	0
	点	22336	0	0
	点	22500	1	0
	点	22663	1	0
	点	22826	2	0
	点	22989	2	0
开始	滑	23152	0	1
结束	按	23152	1	163
开始	滑	23152	3	-1
结束	按	23152	2	163
	点	23478	0	0
开始	滑	23478	3	-1
持续	按	23478	2	163
结束	滑	23641	2	1
	点	23641	1	0
	点	23804	0	0
	点	23804	2	0
	点	23967	1	0
	点	23967	3	0
开始	滑	24130	0	1
持续	按	24130	1	163
结束	滑	24293	1	-1
	点	24130	2	0
	点	24293	3	0
	点	24456	0	0
	点	24456	2	0
	点	24619	1	0
	点	24619	3	0
	点	24782	0	0
开始	滑	24782	3	-1
持续	按	24782	2	163
持续	滑	24945	2	1
持续	按	24945	3	163
持续	滑	25108	3	-1
持续	按	25108	2	163
结束	滑	25271	2	1
	点	24945	0	0
	点	25108	1	0
	点	25271	1	0
开始	滑	25434	0	1
持续	按	25434	1	163
持续	滑	25597	1	-1
持续	按	25597	0	163
持续	滑	25760	0	1
持续	按	25760	1	163
结束	滑	25923	1	-1
	点	25434	2	0
	点	25597	2	0
	点	25760	3	0
	点	25923	3	0
开始	滑	26086	1	-1
持续	按	26086	0	164
结束	滑	26250	0	1
	点	26086	2	0
	点	26250	3	0
	点	26413	0	0
	点	26413	2	0
	点	26576	1	0
	点	26576	3	0
	点	26739	0	0
开始	滑	26739	2	1
持续	按	26739	3	163
结束	滑	26902	3	-1
	点	26902	1	0
	点	27065	0	0
	点	27065	2	0
	点	27228	1	0
	点	27228	3	0
	点	27391	0	0
开始	按	27391	2	163
结束	滑	27554	2	1
	点	27554	1	0
开始	按	27717	1	163
结束	滑	27880	1	-1
	点	27717	2	0
	点	27880	3	0
开始	按	28043	0	163
结束	滑	28206	0	1
	点	28043	3	0
	点	28206	2	0
	点	28369	1	0
开始	按	28369	3	163
结束	滑	28532	3	-1
	点	28532	0	0
开始	按	28695	0	163
持续	滑	28858	0	1
持续	按	28858	1	163
持续	滑	29021	1	1
持续	按	29021	2	163
结束	滑	29184	2	-1
	点	28695	3	0
	点	28858	3	0
	点	29021	3	0
	点	29184	3	0
	点	29347	0	0
开始	按	29347	1	163
持续	滑	29510	1	1
持续	按	29510	2	163
持续	滑	29673	2	1
持续	按	29673	3	163
结束	滑	29836	3	-1
	点	29510	0	0
	点	29673	0	0
	点	29836	0	0
开始	按	30000	2	163
持续	滑	30163	2	-1
持续	按	30163	1	163
持续	滑	30326	1	-1
持续	按	30326	0	163
结束	滑	30489	0	1
	点	30000	3	0
	点	30163	3	0
	点	30326	3	0
	点	30489	3	0
	点	30652	0	0
开始	按	30652	3	163
持续	滑	30815	3	-1
持续	按	30815	2	163
持续	滑	30978	2	-1
持续	按	30978	1	163
结束	滑	31141	1	1
	点	30815	0	0
	点	30978	0	0
	点	31141	0	0
